n,kappa,metric,h,value
8,0.8,negative_order_derivative,0.65,0.5625591419207772
8,0.8,negative_order_derivative,0.7000000000000001,0.47827624767947174
8,0.8,negative_order_derivative,0.75,0.39051865361918825
8,0.8,negative_order_derivative,0.8,0.3137754838088669
8,0.8,negative_order_derivative,0.8500000000000001,0.25198002736564673
8,0.8,negative_order_derivative,0.9,0.20400081127444247
8,0.8,negative_order_derivative,0.9500000000000001,0.1671934060191309
8,0.8,negative_order_derivative,1.0,0.13893014415463423
8,0.8,negative_order_derivative,1.05,0.1170613614931515
8,0.8,negative_order_derivative,1.1,0.09995451851325443
8,0.8,negative_order_derivative,1.1500000000000001,0.08640663529753079
8,0.8,negative_order_derivative,1.2000000000000002,0.0755399998601689
8,0.8,negative_order_derivative,1.25,0.06671403648010665
8,0.8,negative_order_derivative,1.3,0.05945860694019167
8,0.8,negative_order_derivative,1.35,0.05342575731003896
8,0.8,negative_order_derivative,1.4000000000000001,0.048355438759262404
8,0.8,negative_order_derivative,1.4500000000000002,0.04405128052408691
8,0.8,negative_order_derivative,1.5,0.04036343761551531
8,0.8,negative_order_derivative,1.55,0.037176380503056716
8,0.8,negative_order_derivative,1.6,0.03440013710883005
8,0.8,negative_order_derivative,1.6500000000000001,0.03196395668254448
8,0.8,negative_order_derivative,1.7000000000000002,0.029811683879046758
8,0.8,negative_order_derivative,1.75,0.027898350015262086
8,0.8,negative_order_derivative,1.8,0.026187638024769644
8,0.8,negative_order_derivative,1.85,0.024649980097556368
8,0.8,negative_order_derivative,1.9000000000000001,0.023261117542859866
8,0.8,negative_order_derivative,1.9500000000000002,0.022001001300873124
8,0.8,negative_order_derivative,2.0,0.02080071249525961
8,0.8,mx_derivative,0.05,0.6268543289836032
8,0.8,mx_derivative,0.1,0.654614465497706
8,0.8,mx_derivative,0.15000000000000002,0.6903650625020419
8,0.8,mx_derivative,0.2,0.7436449057476974
8,0.8,mx_derivative,0.25,0.8183382884468668
8,0.8,mx_derivative,0.30000000000000004,0.9193818504364215
8,0.8,mx_derivative,0.35000000000000003,1.0498789244824422
8,0.8,mx_derivative,0.4,1.203094149706804
8,0.8,mx_derivative,0.45,1.350007559032023
8,0.8,mx_derivative,0.5,1.4362879332644196
8,0.8,mx_derivative,0.55,1.410323646072662
8,0.8,mx_derivative,0.6000000000000001,1.268235586686873
8,0.8,mx_derivative,0.65,1.0601793106838349
8,0.8,mx_derivative,0.7000000000000001,0.8478091287166318
8,0.8,mx_derivative,0.75,0.6674933800780085
8,0.8,mx_derivative,0.8,0.528064365008416
8,0.8,mx_derivative,0.8500000000000001,0.42437715895177686
8,0.8,mx_derivative,0.9,0.34783543911917825
8,0.8,mx_derivative,0.9500000000000001,0.2907853479113438
8,0.8,mx_derivative,1.0,0.2475002222561713
8,0.8,mx_derivative,1.05,0.21396684984664027
8,0.8,mx_derivative,1.1,0.18743342870861213
8,0.8,mx_derivative,1.1500000000000001,0.16601517927943021
8,0.8,mx_derivative,1.2000000000000002,0.14840912454241995
8,0.8,mx_derivative,1.25,0.13370131895582915
8,0.8,mx_derivative,1.3,0.12123970211751711
8,0.8,mx_derivative,1.35,0.11055063564709044
8,0.8,mx_derivative,1.4000000000000001,0.10128383574233268
8,0.8,mx_derivative,1.4500000000000002,0.09317566677733424
8,0.8,mx_derivative,1.5,0.08602435571134137
8,0.8,mx_derivative,1.55,0.07967301604527854
8,0.8,mx_derivative,1.6,0.07399784784330521
8,0.8,mx_derivative,1.6500000000000001,0.06889981317850236
8,0.8,mx_derivative,1.7000000000000002,0.06429867698448177
8,0.8,mx_derivative,1.75,0.06012868004551386
8,0.8,mx_derivative,1.8,0.05633535357898367
8,0.8,mx_derivative,1.85,0.052873143004621426
