kappa,L,p,feature,h,value,derivative,preparation_failed,branch_switch,branch_checked,branch_sensitive
0.0,4,0.05,mx,0.6,0.0026055331129354936,0.00835861889967509,False,False,False,
0.0,4,0.05,mx,0.65,0.0030355299380773718,0.008915404620383198,False,False,False,
0.0,4,0.05,mx,0.7,0.0034970735749738123,0.009618478963931414,False,False,False,
0.0,4,0.05,mx,0.75,0.003997377834470513,0.010448058584315821,False,False,False,
0.0,4,0.05,mx,0.8,0.004541879433405395,0.011338555031426036,False,False,False,
0.0,4,0.05,mx,0.85,0.005131233337613116,0.012142808545481658,False,False,False,
0.0,4,0.05,mx,0.9,0.005756160287953562,0.012592904801370666,False,False,False,
0.0,4,0.05,mx,0.95,0.006390523817750181,0.01278163639049415,False,False,False,
0.0,4,0.05,mx,1.0,0.13816575772550022,,False,True,True,True
0.0,4,0.05,mx,1.05,0.14105184547615882,0.05610156692629342,False,False,False,
0.0,4,0.05,mx,1.1,0.14377646232613941,0.05288310707292898,False,False,False,
0.0,4,0.05,mx,1.15,0.14634015618345175,0.04978292039766119,False,False,False,
0.0,4,0.05,mx,1.2,0.1487547543659055,0.0469174654533282,False,False,False,
0.0,4,0.05,mx,1.25,0.15103190272878458,0.04427023435758848,False,False,False,
0.0,4,0.05,mx,1.3,0.15318177780166434,0.041790487405588994,False,False,False,
0.0,4,0.05,mx,1.35,0.15521095146934347,0.039551455123990165,False,False,False,
0.0,4,0.05,mx,1.4,0.15713692331406337,0.037363793807760226,False,False,False,
0.0,4,0.05,mx,1.45,0.15894733085011944,0.03513571425755391,False,False,False,
0.0,4,0.05,mx,1.5,0.16065049473981877,0.0330172659796506,False,False,False,
0.0,4,0.05,mx,1.55,0.1622490574480845,0.030953569673180414,False,False,False,
0.0,4,0.05,mx,1.6,0.16374585170713682,0.029098689821701385,False,False,False,
0.0,4,0.05,mx,1.65,0.16515892643025465,0.02715902376946433,False,False,False,
0.0,4,0.05,mx,1.7,0.16646175408408323,0.02534133585530829,False,False,False,
0.0,4,0.05,mx,1.75,0.16769306001578546,0.023624592123932198,False,False,False,
0.0,4,0.05,mx,1.8,0.16882421329647646,0.02178939708308647,False,False,False,
0.0,4,0.05,mx,1.85,0.1698719997240941,0.020508630555419183,False,False,False,
0.0,4,0.05,mx,1.9,0.1708750763520184,0.01887113248732608,False,False,False,
0.0,4,0.05,mx,1.95,0.1717591129728267,0.01772974914821246,False,False,False,
0.0,4,0.05,mx,2.0,0.17264805126683963,0.01782778261230522,False,False,False,
0.0,6,0,order,0.05,0.9994526996495896,0.02178414474494339,False,False,False,
0.0,6,0,order,0.1,0.9978054449321523,0.044106043952554685,False,False,False,
0.0,6,0,order,0.15,0.9950420952543342,0.06670711989483458,False,False,False,
0.0,6,0,order,0.2,0.9911347329426687,0.09000470528076399,False,False,False,
0.0,6,0,order,0.25,0.9860416247262577,0.11431753655365107,False,False,False,
0.0,6,0,order,0.3,0.9797029792873037,0.14007510544499446,False,False,False,
0.0,6,0,order,0.35,0.9720341141817583,0.1678927591340198,False,False,False,
0.0,6,0,order,0.4,0.9629137033739017,0.19866303952959363,False,True,False,
