method,kappa,h,p,new_pass,old_pass,common_pass,new_cnots,old_cnots,epsilon_c_new,epsilon_c_old,epsilon_sf_new,epsilon_sf_old,epsilon_mx_new,epsilon_mx_old
B3,0.15,1.7,0,True,True,True,63,192,0.00047026462141911557,3.2434957993737745e-06,0.0002622781696912102,1.0477789186835729e-06,2.8565576499661738e-05,2.154970306644799e-07
B3,0.15,1.8,0,True,True,True,32,192,0.0016957081788619155,1.9948850943153282e-05,0.0010595129203554154,6.04712114468664e-06,0.00029652619299624927,8.453805538932713e-07
B3,0.15,1.9,0,True,True,True,32,192,0.0021499693173023977,3.0550640059551215e-06,0.0014294590664136464,1.230479102387605e-06,0.00029156033660304725,3.70866776178147e-07
B3,0.15,2.0,0,True,True,True,32,192,0.0015421363743900315,2.6814417343566828e-05,0.0004460824921350415,6.7202403204735806e-06,9.718001281111555e-05,6.609054995498909e-07
B3,0.2,0.1,0,True,True,True,31,192,4.2174870357514216e-05,3.1717458859326086e-07,3.201103129746308e-05,1.9528537220647735e-07,0.00019977297851495046,1.1665435232233179e-06
B3,0.2,0.2,0,True,True,True,31,192,0.0007350956833611644,5.130731215885476e-06,0.0005598980896126537,2.7760266110288256e-06,0.0017233063872993948,4.008103086677872e-06
B3,0.2,0.3,0,True,True,True,64,192,0.0009916305659491975,8.703651419028624e-06,0.0006797707711659884,2.347253730494714e-06,0.0012183698947039745,1.7702104964656407e-06
B3,0.2,0.4,0,True,True,True,95,192,0.001717976778608299,7.777824068100347e-05,0.0010347563221692058,2.489462825527866e-05,0.0010813196512570733,1.2774078973654124e-05
B3,0.2,0.5,0,True,True,True,96,192,0.0006081968066485866,0.00029975966581741176,0.00034134784625039494,9.713079204098918e-05,0.0001894670229038442,3.218585535691432e-05
B3,0.2,0.6,0,True,True,True,96,192,0.0002355893283815247,0.0003336190039898712,9.797427849811413e-05,0.00010477635018091291,2.3388873444052383e-05,9.545879712247185e-06
B3,0.2,0.7,0,True,True,True,96,192,0.004864665996000883,9.377307127422796e-05,0.0019434445776704834,1.950169756749498e-05,0.000625258110107163,2.201662452827602e-05
B3,0.2,0.8,0,True,True,True,95,192,0.0061831809854678565,3.589200591319619e-05,0.0026032943013489795,2.516047899531193e-05,0.0006663587708364282,1.2646170628349829e-05
B3,0.2,0.9,0,True,True,True,64,192,0.009083228727860979,2.8553374077838756e-05,0.005174998682153542,1.4074987261136762e-05,0.0015458333001368008,2.893332592734943e-06
B3,0.2,1.0,0,True,True,True,63,192,0.0025371462389048166,1.15563303279137e-05,0.001333018475281278,4.4711776440165e-06,0.00021232071055432566,1.102963885335484e-06
B3,0.2,1.1,0,True,True,True,63,192,0.0011520480922605908,1.754286776230879e-05,0.0007539578604492947,5.212817837385586e-06,0.00016893216383506715,7.526721876871534e-07
B3,0.2,1.2,0,True,True,True,64,192,0.00033536146210441653,0.00013867580602102553,0.000217487430454133,4.73491725910824e-05,5.9345721913239835e-05,4.737310918767612e-06
B3,0.2,1.3,0,True,True,True,63,192,0.0012098542272295197,9.369845650850084e-06,0.0002574746281133189,6.062215013036276e-06,2.3207134583147493e-05,2.963270684164243e-06
B3,0.2,1.4,0,True,True,True,63,192,0.0022320137609172794,0.00021555202111827026,0.0008896745160672237,9.066106204963509e-05,4.4007762604714173e-05,5.767341750173571e-06
B3,0.2,1.5,0,True,True,True,63,192,0.0027967565031981525,8.792990074171954e-05,0.000967253144560698,2.3045190571002738e-05,2.4494399691876723e-05,3.1432907943163e-08
B3,0.2,1.6,0,True,True,True,63,192,0.0014165071651142183,8.325803124137332e-05,0.0005433773495426009,2.3319970292146053e-05,2.778092469513105e-06,9.44978052475065e-08
B3,0.2,1.7,0,True,True,True,32,192,0.006366986635909596,8.109483874704174e-05,0.0017651564630410677,2.1162489038467625e-05,0.00019568144560300205,1.4274260440316766e-07
B3,0.2,1.8,0,True,True,True,32,192,0.006638160099849681,2.5321096135598638e-05,0.002332994253773202,8.254744824381932e-06,8.702179346919969e-05,4.065519985108068e-07
B3,0.2,1.9,0,True,True,True,32,192,0.0075070241719770656,1.9317365510532897e-05,0.0034304778035384176,6.79197888395211e-06,4.663273489469155e-06,1.9280221541517761e-07
B3,0.2,2.0,0,True,True,True,32,192,0.006491703449504819,1.3675053910872613e-05,0.002800931912200655,4.86366066723698e-06,3.471046228364916e-05,3.864421755928049e-07
