n,kappa,h,ref,seed,method,cnots,delta_e,fidelity,joint_pass
8,0.35,1.5,antiphase,11,cost,32,0.339999258533223,0.4476965609306086,False
8,0.35,1.5,antiphase,11,cost,64,0.00023760256484672837,0.9997313129619478,True
8,0.35,1.5,antiphase,11,cost,96,1.0487005477122224e-05,0.9999930491822324,True
8,0.35,1.5,antiphase,11,cost,128,1.470215334364866e-06,0.99999906657816,True
8,0.35,1.5,antiphase,11,cost,128,1.470215334364866e-06,0.99999906657816,True
8,0.7,0.2,ghz,11,cost,7,0.4149295200226794,9.533957208862071e-07,False
8,0.7,0.2,ghz,11,cost,15,0.39790431429792483,3.207135082742117e-05,False
8,0.7,0.2,ghz,11,cost,31,0.13705802747521945,0.0006503807526911942,False
8,0.7,0.2,ghz,11,cost,63,0.12940489046092152,0.004065857734681747,False
8,0.7,0.2,ghz,11,cost,95,0.0004186595894827283,0.5016572001180912,False
8,0.7,0.2,ghz,11,cost,127,0.0003999871521561671,0.5027764797367654,False
8,0.7,0.2,ghz,11,cost,127,0.0003999871521561671,0.5027764797367654,False
8,0.0,1.4,plus,11,cost,0,0.18702813951457053,0.7259156848541252,False
8,0.0,1.4,plus,11,cost,16,0.021377772072968426,0.9486487230677133,False
8,0.0,1.4,plus,11,cost,32,0.006565364232484994,0.9822266078873519,False
8,0.0,1.4,plus,11,cost,64,0.0006442458852231603,0.9992873869391432,False
8,0.0,1.4,plus,11,cost,96,4.375515644428063e-05,0.9999672224236916,True
8,0.0,1.4,plus,11,cost,128,5.109830347960198e-06,0.9999965265212105,True
8,0.0,1.4,plus,11,cost,128,5.109830347960198e-06,0.9999965265212105,True
8,0.9,1.5,plus,11,cost,0,0.21172053674250124,0.8067115977624633,False
8,0.9,1.5,plus,11,cost,16,0.07492269953448405,0.8942670498058105,False
8,0.9,1.5,plus,11,cost,32,0.015001349245644224,0.9839894614894761,False
8,0.9,1.5,plus,11,cost,96,0.0005501286290914287,0.9995780045514419,True
8,0.9,1.5,plus,11,cost,128,0.00020695987362051582,0.9998443491861109,True
8,0.9,1.5,plus,11,cost,128,0.00020695987362051582,0.9998443491861109,True
8,0.6,1.1,plus,11,cost,0,0.19427704765032794,0.7940076650913083,False
8,0.6,1.1,plus,11,cost,16,0.02829160627646865,0.9434726268461447,False
8,0.6,1.1,plus,11,cost,32,0.010194196127559563,0.9839311989339256,False
8,0.6,1.1,plus,11,cost,64,0.0009399895996133889,0.9989959387247207,True
8,0.6,1.1,plus,11,cost,96,0.00016237284418330056,0.9998445118431765,True
8,0.6,1.1,plus,11,cost,128,5.089927514800863e-05,0.9999589623044184,True
8,0.6,1.1,plus,11,cost,128,5.089927514800863e-05,0.9999589623044184,True
8,0.525,0.55,plus,11,gradient,0,0.2775269602368696,0.5731529075562487,False
8,0.525,0.55,plus,11,gradient,16,0.029218648109847867,0.8911397686391006,False
8,0.525,0.55,plus,11,gradient,32,0.01572175013744692,0.9325243125783015,False
8,0.525,0.55,plus,11,gradient,96,0.0011241304438179833,0.9975542161988227,False
