window,chain,p,feature,stride,h,value,derivative
W1,W1/ascending/seed307,0.05,order,4,1.0,0.13146782139445812,0.0007837528183396447
W1,W1/ascending/seed307,0.05,order,4,1.05,0.13141138182663303,0.002201100643938858
W1,W1/ascending/seed307,0.05,order,4,1.1,0.13124771133006424,0.0024677404745765408
W1,W1/ascending/seed307,0.05,order,4,1.15,0.13116460777917538,0.0018569124637370926
W1,W1/ascending/seed307,0.05,order,4,1.2,0.13106202008369053,0.0028644856498518667
W1,W1/ascending/seed307,0.05,order,4,1.25,0.1308781592141902,0.004489949130161541
W1,W1/ascending/seed307,0.05,order,2,0.75,0.13133046627539038,0.0007457576205176508
W1,W1/ascending/seed307,0.05,order,2,0.775,0.13134541489184748,-0.0019416469370852063
W1,W1/ascending/seed307,0.05,order,2,0.8,0.13142754862224465,-0.0017245372060359365
W1,W1/ascending/seed307,0.05,order,2,0.825,0.1314316417521493,-0.0013880675863870984
